Year,Governorate,Perpetrator,Weapon,Health,School,Public,Private,Unknown
2012,Homs,Syria,Artillery Shelling,1,0,0,0,0
2012,Homs,Syria,Artillery Shelling,1,0,0,0,0
2012,Homs,Other,Unknown,1,0,0,0,0
2012,Aleppo,Syria,Airstrike,1,0,0,0,0
2012,Homs,Syria,Airstrike,1,0,0,0,0
2012,Latakia,Syria,Artillery Shelling,1,0,0,0,0
2012,Homs,Syria,Unknown,1,0,0,0,0
2012,Latakia,Syria,Unknown,1,0,0,0,0
2012,Rif Dimashq,Syria,Artillery Shelling,1,0,0,0,0
2012,Rif Dimashq,Syria,Unknown,1,0,0,0,0
2012,Aleppo,Syria,Mortar,1,0,0,0,0
2012,Deir Ezzor,Syria,Artillery Shelling,1,0,0,0,0
2012,Homs,Syria,Artillery Shelling,1,0,0,0,0
2012,Aleppo,Syria,Artillery Shelling,1,0,0,0,0
2012,Rif Dimashq,Syria,Artillery Shelling,1,0,0,0,0
2012,Damascus,Syria,Artillery Shelling,1,0,0,0,0
2012,Aleppo,Syria,Unknown,1,0,0,0,0
2012,Aleppo,Syria,Artillery Shelling,1,0,0,0,0
2012,Damascus,Syria,Unknown,1,0,0,0,0
2012,Rif Dimashq,Syria,Unknown,1,0,0,0,0
2012,Daraa,Syria,Unknown,1,0,0,0,0
2012,Aleppo,Syria,Artillery Shelling,1,0,0,0,0
2012,Aleppo,Syria,Airstrike,1,0,0,0,0
2012,Homs,Syria,Artillery Shelling,1,0,0,0,0
2012,Aleppo,Syria,Unknown,1,0,0,0,0
2012,Aleppo,Syria,Unknown,1,0,0,0,0
2012,Aleppo,Syria,Airstrike,1,0,0,0,0
2012,Idlib,Syria,Unknown,1,0,0,0,0
2012,Idlib,Syria,Unknown,1,0,0,0,0
2012,Daraa,Syria,Artillery Shelling,1,0,0,0,0
2012,Aleppo,Syria,Artillery Shelling,1,0,0,0,0
2012,Damascus,Syria,Artillery Shelling,1,0,0,0,0
2012,Aleppo,Syria,Artillery Shelling,1,0,0,0,0
2012,Homs,Syria,Unknown,1,0,0,0,0
2012,Aleppo,Syria,Unknown,1,0,0,0,0
2012,Latakia,Unknown,Unknown,1,0,0,0,0
2012,Aleppo,Syria,Artillery Shelling,1,0,0,0,0
2012,Deir Ezzor,Syria,Unknown,1,1,0,0,0
2012,Damascus,Syria,Unknown,1,0,0,0,0
2012,Rif Dimashq,Syria,Artillery Shelling,1,0,0,0,0
2012,Aleppo,Syria,Unknown,1,0,0,0,0
2012,Deir Ezzor,Syria,Artillery Shelling,1,0,0,0,0
2012,Rif Dimashq,Syria,Airstrike,1,0,0,0,0
2012,Rif Dimashq,Syria,Airstrike,1,0,0,0,0
2012,Aleppo,Syria,Artillery Shelling,1,0,0,0,0
2012,Rif Dimashq,Syria,Unknown,1,0,0,0,0
2012,Idlib,Syria,Artillery Shelling,1,0,0,0,0
2012,Aleppo,Syria,Artillery Shelling,1,0,0,0,0
2012,Aleppo,Syria,Artillery Shelling,1,0,0,0,0
2012,Aleppo,Syria,Unknown,1,0,0,0,0
2012,Damascus,Syria,Artillery Shelling,1,0,0,0,0
2012,Deir Ezzor,Syria,Artillery Shelling,1,0,0,0,0
2012,Damascus,Syria,Mortar,1,0,0,0,0
2012,Deir Ezzor,Syria,Artillery Shelling,1,0,0,0,0
2012,Aleppo,Syria,Unknown,1,0,0,0,0
2012,Rif Dimashq,Syria,Unknown,1,0,0,0,0
2012,Aleppo,Syria,Artillery Shelling,1,0,0,0,0
2012,Rif Dimashq,Syria,Unknown,1,0,0,0,0
2013,Deir Ezzor,Syria,Unknown,1,0,0,0,0
2013,Rif Dimashq,Syria,Airstrike,1,0,0,0,0
2013,Damascus,Other,Mortar,1,0,0,0,0
2013,Deir Ezzor,Syria,Airstrike,1,0,0,0,0
2013,Aleppo,Syria,Unknown,1,0,0,0,0
2013,Idlib,Syria,Airstrike,1,0,0,0,0
2013,Hama,Syria,Unknown,1,0,0,0,0
2013,Daraa,Syria,Airstrike,1,0,0,0,0
2013,Hama,Syria,Artillery Shelling,1,0,0,0,0
2013,Homs,Syria,Unknown,1,0,0,0,0
2013,Idlib,Syria,Artillery Shelling,1,0,0,0,0
2013,Idlib,Syria,Unknown,1,0,0,0,0
2013,Daraa,Other,Unknown,1,0,0,0,0
2013,Damascus,Syria,Unknown,1,0,0,0,0
2013,Raqqa,Syria,Unknown,1,0,0,0,0
2013,Deir Ezzor,Syria,Airstrike,1,0,0,0,0
2013,Aleppo,Syria,Airstrike,1,0,0,0,0
2013,Rif Dimashq,Other,Mortar,1,0,0,0,0
2013,Deir Ezzor,Syria,Artillery Shelling,1,0,0,0,0
2013,Rif Dimashq,Syria,Artillery Shelling,1,0,0,0,0
2013,Rif Dimashq,Syria,Unknown,1,0,0,0,0
2013,Rif Dimashq,Syria,Unknown,1,0,0,0,0
2013,Daraa,Syria,Unknown,1,0,0,0,0
2013,Aleppo,Syria,Unknown,1,0,0,0,0
2013,Rif Dimashq,Syria,Artillery Shelling,1,0,0,0,0
2013,Idlib,Syria,Unknown,1,0,0,0,0
2013,Homs,Other,Unknown,1,0,0,0,0
2013,Rif Dimashq,Other,Artillery Shelling,1,0,0,0,0
2013,Rif Dimashq,Syria,Unknown,1,0,0,0,0
2013,Aleppo,Other,IED,1,0,0,0,0
2013,Homs,Syria,Artillery Shelling,1,0,0,0,0
2013,Latakia,Syria,Airstrike,1,0,0,0,0
2013,Aleppo,ISIS,Unknown,1,0,0,0,0
2013,Idlib,Syria,Airstrike,1,0,0,0,0
2013,Idlib,Syria,Airstrike,1,0,0,0,0
2014,Damascus,Syria,Airstrike,1,0,0,0,0
2014,Latakia,Syria,Unknown,1,0,0,0,0
2014,Raqqa,ISIS,Artillery Shelling,1,0,0,0,0
2014,Raqqa,Syria,Unknown,1,0,0,0,0
2014,Idlib,Syria,Airstrike,1,0,0,0,0
2014,Aleppo,Syria,Airstrike,1,0,0,0,0
2014,Idlib,Syria,Artillery Shelling,1,0,0,0,0
2014,Aleppo,Syria,Unknown,1,0,0,0,0
2014,Homs,Unknown,Unknown,1,0,0,0,0
2014,Damascus,Unknown,Unknown,1,0,0,0,0
2014,Rif Dimashq,Syria,Artillery Shelling,1,0,0,0,0
2014,Idlib,Syria,IED,1,0,0,0,0
2014,Raqqa,Syria,Airstrike,1,0,0,0,0
2014,Latakia,Syria,Unknown,1,0,0,0,0
2014,Rif Dimashq,Other,Mortar,1,0,0,0,0
2014,Aleppo,Syria,Airstrike,1,0,0,0,0
2014,Deir Ezzor,Other,Unknown,1,0,0,0,0
2014,Hama,Unknown,Airstrike,1,0,0,0,0
2014,Aleppo,Syria,Airstrike,1,0,0,0,0
2014,Daraa,Syria,Airstrike,1,0,0,0,0
2014,Aleppo,Syria,Airstrike,1,0,0,0,0
2014,Idlib,Unknown,IED,1,0,0,0,0
2014,Hama,Syria,Airstrike,1,0,0,0,0
2014,Daraa,Syria,Airstrike,1,0,0,0,0
2014,Aleppo,Syria,Unknown,1,0,0,0,0
2014,Rif Dimashq,Syria,Unknown,1,0,0,0,0
2014,Homs,Syria,Airstrike,1,0,0,0,0
2014,Idlib,Syria,Airstrike,1,0,0,0,0
2014,Aleppo,Syria,Airstrike,0,0,1,0,0
2014,Aleppo,Syria,Unknown,1,0,0,0,0
2014,Hama,Syria,Airstrike,1,0,0,0,0
2014,Aleppo,Syria,Airstrike,1,0,0,0,0
2014,Aleppo,Syria,Unknown,1,0,0,0,0
2014,Aleppo,Syria,Airstrike,1,0,0,0,0
2014,Aleppo,Syria,Airstrike,1,0,0,0,0
2014,Rif Dimashq,Syria,Unknown,1,0,0,0,0
2014,Idlib,Syria,Airstrike,1,0,0,0,0
2014,Aleppo,Syria,Airstrike,1,0,0,0,0
2014,Aleppo,Syria,Airstrike,1,0,0,0,0
2014,Aleppo,Syria,Airstrike,1,0,0,0,0
2014,Aleppo,Syria,Airstrike,1,0,0,0,0
2014,Aleppo,Syria,Airstrike,1,0,0,0,0
2014,Rif Dimashq,Unknown,IED,1,0,0,0,0
2014,Idlib,Syria,Unknown,1,0,0,0,0
2014,Aleppo,Syria,Airstrike,1,0,0,0,0
2014,Deir Ezzor,Syria,Artillery Shelling,1,0,0,0,0
2014,Aleppo,Syria,Airstrike,1,0,0,0,0
2014,Rif Dimashq,Syria,Unknown,1,0,0,0,0
2014,Idlib,Syria,Airstrike,1,0,0,0,0
2014,Aleppo,Syria,Airstrike,1,0,0,0,0
2014,Aleppo,Syria,Airstrike,0,0,1,0,0
2014,Idlib,Syria,Airstrike,1,0,0,0,0
2014,Idlib,Syria,Airstrike,1,0,0,0,0
2014,Rif Dimashq,Syria,Airstrike,1,0,0,0,0
2014,Aleppo,Syria,Unknown,1,0,0,0,0
2014,Raqqa,Syria,Airstrike,1,0,0,0,0
2014,Daraa,Syria,Airstrike,1,0,0,0,0
2014,Daraa,Syria,Airstrike,1,0,0,0,0
2014,Rif Dimashq,Syria,Airstrike,1,0,0,0,0
2014,Hama,Syria,Airstrike,1,0,0,0,0
2014,Damascus,Syria,Airstrike,1,0,0,0,0
2014,Deir Ezzor,Syria,Airstrike,1,0,0,0,0
2014,Aleppo,Other,Artillery Shelling,1,0,0,0,0
2014,Idlib,Syria,Unknown,1,0,0,0,0
2014,Aleppo,US Coalition,Airstrike,0,0,1,0,0
2014,Raqqa,US Coalition,Airstrike,0,0,1,0,0
2014,Hama,Syria,Airstrike,1,0,0,0,0
2014,Idlib,Syria,Airstrike,1,0,0,0,0
2014,Daraa,Syria,Unknown,1,0,0,0,0
2014,Rif Dimashq,Syria,Airstrike,1,0,0,0,0
2014,Deir Ezzor,US Coalition,Airstrike,0,0,0,0,1
2014,Hasakah,US Coalition,Airstrike,0,0,1,0,0
2014,Deir Ezzor,US Coalition,Airstrike,0,0,1,0,0
2014,Daraa,Syria,Mortar,1,0,0,0,0
2014,Idlib,Syria,Airstrike,1,0,0,0,0
2014,Rif Dimashq,Syria,Airstrike,1,0,0,0,0
2014,Deir Ezzor,Unknown,IED,1,0,0,0,0
2014,Deir Ezzor,US Coalition,Airstrike,0,0,0,0,1
2014,Deir Ezzor,US Coalition,Airstrike,0,0,1,0,0
2014,Idlib,US Coalition,Airstrike,0,0,1,0,0
2014,Deir Ezzor,US Coalition,Airstrike,0,0,1,0,0
2014,Homs,Syria,Unknown,1,0,0,0,0
2014,Idlib,Syria,Airstrike,1,0,0,0,0
2014,Aleppo,ISIS,IED,1,0,0,0,0
2014,Hasakah,Syria,Airstrike,1,0,0,0,0
2014,Deir Ezzor,US Coalition,Airstrike,0,0,0,0,1
2014,Idlib,Syria,Unknown,1,0,0,0,0
2014,Rif Dimashq,Syria,Airstrike,1,0,0,0,0
2014,Deir Ezzor,Syria,Airstrike,1,0,0,0,0
2015,Daraa,Syria,Unknown,1,0,0,0,0
2015,Deir Ezzor,Syria,Airstrike,1,0,0,0,0
2015,Deir Ezzor,US Coalition,Airstrike,0,0,1,1,0
2015,Rif Dimashq,Unknown,IED,1,0,0,0,0
2015,Damascus,Syria,Unknown,1,0,0,0,0
2015,Hasakah,US Coalition,Airstrike,0,0,0,0,1
2015,Hasakah,US Coalition,Airstrike,0,0,1,1,0
2015,Rif Dimashq,Syria,Airstrike,1,0,0,0,0
2015,Rif Dimashq,Syria,Airstrike,1,0,0,0,0
2015,Idlib,Syria,Airstrike,1,0,0,0,0
2015,Rif Dimashq,Syria,Airstrike,1,0,0,0,0
2015,Latakia,Unknown,IED,1,0,0,0,0
2015,Hasakah,US Coalition,Airstrike,0,0,0,0,1
2015,Hasakah,US Coalition,Airstrike,0,0,0,0,1
2015,Deir Ezzor,US Coalition,Airstrike,1,0,0,0,0
2015,Hama,Syria,Unknown,1,0,0,0,0
2015,Daraa,Syria,Airstrike,1,0,0,0,0
2015,Hama,Syria,Airstrike,1,0,0,0,0
2015,Idlib,US Coalition,Airstrike,0,0,1,0,0
2015,Idlib,Syria,Unknown,1,0,0,0,0
2015,Daraa,Syria,Airstrike,1,0,0,0,0
2015,Deir Ezzor,Syria,Airstrike,1,0,0,0,0
2015,Idlib,Syria,Airstrike,1,0,0,0,0
2015,Idlib,Syria,Unknown,1,0,0,0,0
2015,Damascus,Syria,Artillery Shelling,1,0,0,0,0
2015,Damascus,Syria,Airstrike,1,0,0,0,0
2015,Idlib,Syria,Airstrike,0,0,1,0,0
2015,Idlib,Syria,Airstrike,0,0,1,0,0
2015,Hama,Syria,Airstrike,1,0,0,0,0
2015,Hasakah,Syria,Airstrike,1,0,0,0,0
2015,Idlib,Syria,Unknown,1,0,0,0,0
2015,Aleppo,Syria,Airstrike,1,0,0,0,0
2015,Idlib,Syria,Airstrike,1,0,0,0,0
2015,Idlib,Syria,Airstrike,1,0,0,0,0
2015,Aleppo,Syria,Airstrike,1,0,0,0,0
2015,Aleppo,US Coalition,Airstrike,0,0,0,1,0
2015,Aleppo,Syria,Airstrike,1,0,0,0,0
2015,Deir Ezzor,Syria,Airstrike,1,0,0,0,0
2015,Aleppo,Syria,Airstrike,1,0,0,0,0
2015,Idlib,Syria,Airstrike,1,0,0,0,0
2015,Aleppo,Syria,Airstrike,1,0,0,0,0
2015,Hasakah,US Coalition,Airstrike,0,0,0,0,1
2015,Hasakah,US Coalition,Airstrike,0,0,0,0,1
2015,Idlib,Syria,Airstrike,1,0,0,0,0
2015,Idlib,Syria,Airstrike,1,0,0,0,0
2015,Deir Ezzor,Syria,Airstrike,1,0,0,0,0
2015,Aleppo,Syria,Airstrike,0,0,1,0,0
2015,Aleppo,Syria,Airstrike,1,0,0,0,0
2015,Idlib,Syria,Airstrike,1,0,0,0,0
2015,Deir Ezzor,Syria,Airstrike,1,0,0,0,0
2015,Aleppo,US Coalition,Airstrike,0,0,0,1,0
2015,Hama,Syria,Airstrike,1,0,0,0,0
2015,Hasakah,US Coalition,Airstrike,0,0,0,0,1
2015,Hasakah,US Coalition,Airstrike,0,0,0,1,0
2015,Raqqa,US Coalition,Airstrike,0,0,1,0,0
2015,Idlib,Syria,Airstrike,1,0,0,0,0
2015,Hama,Syria,Airstrike,1,0,0,0,0
2015,Idlib,Syria,Airstrike,1,0,0,0,0
2015,Aleppo,Syria,Airstrike,1,0,0,0,0
2015,Aleppo,Syria,Airstrike,1,0,0,0,0
2015,Idlib,Syria,Airstrike,1,0,0,0,0
2015,Aleppo,Syria,Airstrike,1,0,0,0,0
2015,Raqqa,US Coalition,Airstrike,0,0,0,0,1
2015,Aleppo,US Coalition,Airstrike,0,0,0,1,0
2015,Deir Ezzor,US Coalition,Airstrike,0,0,1,0,0
2015,Damascus,Syria,Airstrike,1,0,0,0,0
2015,Aleppo,Syria,Airstrike,1,0,0,0,0
2015,Aleppo,Syria,Airstrike,1,0,0,0,0
2015,Aleppo,Syria,Airstrike,1,0,0,0,0
2015,Aleppo,Syria,Airstrike,1,0,0,0,0
2015,Hasakah,US Coalition,Airstrike,0,0,0,0,1
2015,Raqqa,US Coalition,Airstrike,0,0,0,1,0
2015,Raqqa,US Coalition,Airstrike,0,0,0,1,0
2015,Raqqa,US Coalition,Airstrike,0,0,0,1,0
2015,Daraa,Syria,Airstrike,1,0,0,0,0
2015,Deir Ezzor,US Coalition,Airstrike,0,0,0,0,1
2015,Aleppo,Syria,Airstrike,0,0,1,0,0
2015,Hasakah,ISIS,IED,1,0,0,0,0
2015,Aleppo,ISIS,Unknown,1,0,0,0,0
2015,Hama,Syria,Airstrike,1,0,0,0,0
2015,Daraa,Syria,Airstrike,1,0,0,0,0
2015,Aleppo,Syria,Airstrike,1,0,0,0,0
2015,Raqqa,US Coalition,Airstrike,0,0,0,1,0
2015,Daraa,Syria,Airstrike,1,0,0,0,0
2015,Raqqa,US Coalition,Airstrike,0,0,0,1,0
2015,Raqqa,US Coalition,Airstrike,0,0,1,0,0
2015,Raqqa,US Coalition,Airstrike,0,0,1,0,0
2015,Idlib,Syria,Airstrike,1,0,0,0,0
2015,Aleppo,Syria,Airstrike,1,0,0,0,0
2015,Hasakah,US Coalition,Airstrike,0,0,0,0,1
2015,Raqqa,US Coalition,Airstrike,0,0,0,0,1
2015,Idlib,US Coalition,Airstrike,0,0,1,0,0
2015,Raqqa,US Coalition,Airstrike,0,1,1,0,0
2015,Hasakah,US Coalition,Airstrike,1,0,0,0,0
2015,Idlib,Syria,Airstrike,1,0,0,0,0
2015,Raqqa,US Coalition,Airstrike,1,0,1,0,0
2015,Raqqa,US Coalition,Airstrike,0,0,0,0,1
2015,Raqqa,US Coalition,Airstrike,0,0,0,0,1
2015,Raqqa,US Coalition,Airstrike,0,0,0,1,0
2015,Raqqa,US Coalition,Airstrike,0,0,1,0,0
2015,Aleppo,Syria,Airstrike,0,0,1,0,0
2015,Damascus,Syria,Airstrike,1,0,0,0,0
2015,Raqqa,US Coalition,Airstrike,0,0,0,0,1
2015,Aleppo,US Coalition,Airstrike,0,0,0,1,0
2015,Aleppo,Syria,Airstrike,1,0,0,0,0
2015,Daraa,Syria,Airstrike,1,0,0,0,0
2015,Deir Ezzor,US Coalition,Airstrike,0,0,0,1,0
2015,Idlib,Syria,Airstrike,1,0,0,0,0
2015,Idlib,Syria,Airstrike,1,0,0,0,0
2015,Hama,Syria,Airstrike,1,0,0,0,0
2015,Hasakah,US Coalition,Airstrike,0,0,0,0,1
2015,Idlib,Syria,Airstrike,1,0,0,0,0
2015,Idlib,Syria,Unknown,1,0,0,0,0
2015,Idlib,Syria,Unknown,1,0,0,0,0
2015,Idlib,Syria,Unknown,1,0,0,0,0
2015,Idlib,Syria,Airstrike,1,0,0,0,0
2015,Idlib,Syria,Airstrike,1,0,0,0,0
2015,Raqqa,US Coalition,Airstrike,0,0,0,0,1
2015,Idlib,US Coalition,Airstrike,0,0,0,1,0
2015,Aleppo,US Coalition,Airstrike,0,0,0,1,0
2015,Idlib,Syria,Unknown,0,0,0,1,0
2015,Idlib,Syria,Airstrike,1,0,0,0,0
2015,Idlib,Syria,Airstrike,1,0,0,0,0
2015,Deir Ezzor,Syria,Airstrike,1,0,0,0,0
2015,Raqqa,US Coalition,Airstrike,0,0,1,0,0
2015,Aleppo,US Coalition,Airstrike,0,0,1,0,0
2015,Rif Dimashq,Syria,Airstrike,0,0,1,0,0
2015,Hasakah,US Coalition,Airstrike,0,0,0,0,1
2015,Aleppo,Syria,Airstrike,1,0,0,0,0
2015,Raqqa,US Coalition,Airstrike,0,0,1,0,0
2015,Raqqa,US Coalition,Airstrike,0,0,0,0,1
2015,Aleppo,Syria,Unknown,0,0,1,0,0
2015,Deir Ezzor,Syria,Airstrike,1,0,0,0,0
2015,Idlib,Syria,Airstrike,1,0,0,0,0
2015,Raqqa,US Coalition,Airstrike,0,0,0,0,1
2015,Homs,Russia,Airstrike,0,0,0,0,1
2015,Homs,Russia,Airstrike,0,0,0,1,0
2015,Homs,Russia,Airstrike,0,0,0,1,0
2015,Deir Ezzor,US Coalition,Airstrike,0,0,1,0,0
2015,Homs,Russia,Airstrike,0,0,1,1,0
2015,Idlib,Russia,Airstrike,0,0,1,1,0
2015,Deir Ezzor,Syria,Unknown,1,0,0,0,0
2015,Rif Dimashq,Syria,Unknown,1,0,0,0,0
2015,Idlib,Russia,Airstrike,0,0,0,0,1
2015,Idlib,Russia,Airstrike,0,0,0,0,1
2015,Aleppo,Russia,Airstrike,0,0,0,0,1
2015,Idlib,Russia,Airstrike,0,0,0,1,0
2015,Idlib,Russia-Syria,Airstrike,0,0,1,0,0
2015,Hama,Russia-Syria,Airstrike,1,0,0,0,0
2015,Hama,Russia-Syria,Airstrike,1,0,0,0,0
2015,Latakia,Russia-Syria,Airstrike,1,0,0,0,0
2015,Idlib,Russia-Syria,Airstrike,0,0,0,0,1
2015,Homs,Russia,Airstrike,0,0,0,0,1
2015,Idlib,Russia,Airstrike,0,0,0,0,1
2015,Idlib,Russia,Airstrike,0,0,0,0,1
2015,Idlib,Russia,Airstrike,0,0,0,0,1
2015,Aleppo,Russia,Unknown,0,0,0,1,0
2015,Idlib,Russia,Airstrike,0,0,0,1,0
2015,Idlib,Russia-Syria,Airstrike,0,0,1,0,0
2015,Aleppo,Russia,Airstrike,0,0,1,0,0
2015,Hama,Russia,Airstrike,0,0,1,0,0
2015,Idlib,Russia-Syria,Airstrike,0,0,1,1,0
2015,Aleppo,Russia-Syria,Airstrike,0,0,0,0,1
2015,Idlib,Russia,Airstrike,0,0,0,0,1
2015,Damascus,Russia,Airstrike,0,0,0,0,1
2015,Aleppo,Russia,Airstrike,0,0,0,0,1
2015,Homs,Russia,Airstrike,0,0,0,0,1
2015,Homs,Russia,Airstrike,0,0,0,0,1
2015,Homs,Russia,Airstrike,0,0,0,1,0
2015,Homs,Russia,Airstrike,0,0,1,0,0
2015,Idlib,Russia,Airstrike,0,1,0,0,0
2015,Rif Dimashq,Unknown,IED,1,0,0,0,0
2015,Idlib,Russia-Syria,Airstrike,1,0,0,0,0
2015,Aleppo,Russia-Syria,Unknown,1,0,0,0,0
2015,Aleppo,Russia-Syria,Airstrike,1,0,0,0,0
2015,Aleppo,Russia-Syria,Airstrike,1,0,0,0,0
2015,Rif Dimashq,Russia-Syria,Airstrike,1,0,0,0,0
2015,Aleppo,Russia,Airstrike,1,0,0,0,0
2015,Aleppo,Russia,Airstrike,1,0,0,0,0
2015,Latakia,Russia,Airstrike,0,0,0,0,1
2015,Damascus,Russia,Airstrike,0,0,0,0,1
2015,Aleppo,Russia,Airstrike,0,0,0,0,1
2015,Idlib,Russia,Airstrike,0,0,0,0,1
2015,Homs,Russia,Airstrike,0,0,0,1,0
2015,Aleppo,Russia,Airstrike,0,0,0,1,0
2015,Hama,Russia,Airstrike,0,0,0,1,0
2015,Hama,Russia,Airstrike,0,1,1,0,0
2015,Idlib,Russia-Syria,Airstrike,1,0,0,0,0
2015,Hama,Russia-Syria,Airstrike,1,0,0,0,0
2015,Hama,Russia,Airstrike,1,0,0,0,0
2015,Raqqa,Russia,Airstrike,1,0,1,1,0
2015,Idlib,Russia,Airstrike,1,1,0,0,0
2015,Aleppo,Russia,Airstrike,0,0,0,0,1
2015,Aleppo,Russia,Airstrike,0,0,0,0,1
2015,Aleppo,Russia,Airstrike,0,0,0,0,1
2015,Aleppo,Russia,Airstrike,0,0,0,0,1
2015,Aleppo,Russia,Airstrike,0,0,0,0,1
2015,Aleppo,Russia,Airstrike,0,0,0,0,1
2015,Idlib,Russia,Airstrike,0,0,0,0,1
2015,Homs,Russia,Airstrike,0,0,0,0,1
2015,Homs,Russia,Airstrike,0,0,0,0,1
2015,Idlib,Russia,Airstrike,0,0,0,0,1
2015,Aleppo,Russia,Airstrike,0,0,0,0,1
2015,Aleppo,Russia,Airstrike,0,0,0,0,1
2015,Aleppo,Russia,Airstrike,0,0,0,0,1
2015,Rif Dimashq,Russia,Airstrike,0,0,0,0,1
2015,Idlib,Russia,Airstrike,0,0,0,1,0
2015,Hama,Russia,Airstrike,0,0,0,1,0
2015,Aleppo,Russia-Syria,Airstrike,0,0,1,0,0
2015,Aleppo,Russia,Airstrike,0,0,1,0,0
2015,Aleppo,Russia,Airstrike,0,0,1,0,0
2015,Idlib,Russia,Airstrike,0,0,1,1,0
2015,Aleppo,Russia,Airstrike,0,0,1,1,0
2015,Hama,Russia-Syria,Airstrike,1,0,0,0,0
2015,Aleppo,Russia-Syria,Unknown,1,0,0,0,0
2015,Rif Dimashq,Russia-Syria,Airstrike,1,0,0,0,0
2015,Aleppo,Russia,Airstrike,1,0,0,0,0
2015,Homs,Russia,Airstrike,0,0,0,0,1
2015,Aleppo,Russia,Airstrike,0,0,0,1,0
2015,Hama,Russia,Airstrike,0,0,0,1,0
2015,Aleppo,Russia,Airstrike,0,0,0,1,0
2015,Aleppo,Russia,Airstrike,0,0,0,1,0
2015,Aleppo,Russia,Airstrike,0,0,0,1,0
2015,Homs,Russia,Airstrike,0,0,1,0,0
2015,Raqqa,Russia,Airstrike,0,0,1,0,0
2015,Deir Ezzor,Russia,Airstrike,0,1,1,0,0
2015,Aleppo,Russia-Syria,Airstrike,1,0,0,0,0
2015,Raqqa,Russia-Syria,Airstrike,1,0,0,0,0
2015,Hasakah,US Coalition,Airstrike,0,0,0,0,1
2015,Aleppo,Russia,Airstrike,0,0,0,0,1
2015,Homs,Russia,Airstrike,0,0,0,0,1
2015,Homs,Russia,Airstrike,0,0,0,0,1
2015,Hama,Russia,Airstrike,0,0,0,0,1
2015,Hama,Russia,Airstrike,0,0,0,0,1
2015,Raqqa,US Coalition,Airstrike,0,0,0,1,0
2015,Homs,Russia,Airstrike,0,0,0,1,0
2015,Aleppo,Russia-Syria,Airstrike,0,0,1,0,0
2015,Hama,Russia,Airstrike,0,0,1,0,0
2015,Idlib,Russia,Airstrike,0,0,1,0,0
2015,Aleppo,Russia,Airstrike,0,0,1,0,0
2015,Aleppo,Russia,Airstrike,0,0,1,0,0
2015,Idlib,Russia,Airstrike,0,0,1,1,0
2015,Aleppo,Russia,Airstrike,0,0,0,0,1
2015,Aleppo,Russia,Airstrike,0,0,0,0,1
2015,Idlib,Russia,Airstrike,0,0,0,0,1
2015,Deir Ezzor,Russia,Airstrike,0,0,0,0,1
2015,Daraa,Russia,Airstrike,0,0,0,0,1
2015,Idlib,Russia,Airstrike,0,0,0,1,0
2015,Idlib,Russia,Airstrike,0,0,0,1,0
2015,Idlib,Russia,Airstrike,0,0,0,1,0
2015,Aleppo,Russia,Airstrike,0,0,0,1,0
2015,Hama,Russia,Airstrike,0,0,0,1,0
2015,Hama,Russia,Unknown,0,0,0,1,0
2015,Hama,Russia,Airstrike,0,0,0,1,0
2015,Idlib,Russia,Airstrike,0,0,0,1,0
2015,Aleppo,Russia,Airstrike,0,0,0,1,0
2015,Idlib,Russia,Airstrike,0,0,0,1,0
2015,Aleppo,Russia,Airstrike,0,0,0,1,0
2015,Deir Ezzor,US Coalition,Airstrike,0,0,1,0,0
2015,Aleppo,Russia-Syria,Airstrike,0,0,1,0,0
2015,Idlib,Russia,Airstrike,0,0,1,0,0
2015,Deir Ezzor,Russia,Airstrike,0,0,1,0,0
2015,Idlib,Russia,Airstrike,0,1,0,0,0
2015,Idlib,Russia,Airstrike,0,1,0,1,0
2015,Daraa,Syria,Airstrike,1,0,0,0,0
2015,Idlib,Russia,Airstrike,0,0,0,0,1
2015,Hasakah,US Coalition,Airstrike,0,0,0,1,0
2015,Homs,Russia,Airstrike,0,0,0,1,0
2015,Homs,Russia,Airstrike,0,0,0,1,0
2015,Aleppo,Russia,Airstrike,0,0,0,1,0
2015,Aleppo,Russia-Syria,Airstrike,0,0,1,0,0
2015,Aleppo,Russia,Airstrike,0,0,1,0,0
2015,Idlib,Russia,Airstrike,0,0,1,0,0
2015,Aleppo,Russia,Airstrike,0,0,1,0,0
2015,Aleppo,Russia,Airstrike,0,0,1,0,0
2015,Idlib,Russia,Airstrike,0,0,1,0,0
2015,Aleppo,Russia,Airstrike,0,1,0,0,0
2015,Idlib,Russia,Airstrike,0,1,1,0,0
2015,Homs,Russia,Airstrike,0,1,1,0,0
2015,Aleppo,Russia-Syria,Airstrike,1,0,0,0,0
2015,Homs,Syria,Airstrike,1,0,0,0,0
2015,Aleppo,Russia,Airstrike,0,0,0,0,1
2015,Homs,Russia,Airstrike,0,0,0,0,1
2015,Raqqa,Russia,Airstrike,0,0,0,1,0
2015,Idlib,Russia,Airstrike,0,0,0,1,0
2015,Idlib,Russia,Airstrike,0,0,1,0,0
2015,Idlib,Russia,Airstrike,0,0,1,0,0
2015,Aleppo,Russia,Airstrike,0,0,1,0,0
2015,Homs,Russia,Airstrike,0,0,0,0,1
2015,Aleppo,Russia,Airstrike,0,0,0,0,1
2015,Idlib,Russia,Airstrike,0,0,0,0,1
2015,Aleppo,Russia,Airstrike,0,0,0,0,1
